language;question;prompt_type;answer;model;answer type;;;;
en;Where is Cambridge?;basic;Cambridge is a city located in Cambridgeshire, England;llama;single;;;;
en;Where is Cambridge?;instruction;Cambridge is a city located in Cambridgeshire, England, United Kingdom. It is situated approximately 50 miles (80 kilometers) north of London. It is also a famous university town, being the location of the University of Cambridge. It is;llama;single;;;;
en;Where is Cambridge?;forced;Cambridge is a city located in Cambridgeshire, England, UK. It is also the name of a city in Massachusetts, USA, which is home to Harvard University and the Massachusetts Institute of Technology (MIT). Cambridge is also the name of several;llama;single;;;;
en;Where is Springfield?;basic;"Springfield is a fictional town in the popular animated TV series ""The Simpsons."" It is not located in any specific real-world location, but is depicted as a generic, middle-American town........................................";llama;single;;;;
en;Where is Springfield?;instruction;"Springfield is a fictional town in the TV show ""The Simpsons"". It is not a real town, but its location is often joked about or implied to be in the Midwestern United States, particularly in the states of Ohio or Illinois. However";llama;single;;;;
en;Where is Springfield?;forced;"Springfield is the capital of Illinois. It is also the setting of the popular TV show ""The Simpsons"", but it is not specified in the show where it is located. However, based on various hints and references in the show, it is often assumed";llama;single;;;;
en;Where is Victoria?;basic;Victoria is a state located in the southeastern region of Australia. It is bordered by the states of New South Wales to the north, the Tasman Sea to the east, and South Australia to the west.;llama;single;;;;
en;Where is Victoria?;instruction;Victoria is a state located in the southeastern region of Australia. It is bordered by the states of New South Wales and Tasmania, and is separated from the neighboring state of South Australia by the Murray River. It is also bordered by the Bass Strait to the;llama;single;;;;
en;Where is Victoria?;forced;Victoria is the capital city of Seychelles, an archipelago off the eastern coast of Africa. It is also the name of a province in British Columbia, Canada. However, without further context, it is most likely that the question is referring;llama;multiple;;;;
en;Where is Oxford?;basic;"Oxford is a city located in the south-eastern region of England, in the United Kingdom. It is situated approximately 55 miles (89 km) northwest of London. Tags: England, UK, city, location, geography
Explanation: Oxford is";llama;single;;;;
en;Where is Oxford?;instruction;Oxford is a city located in the South East region of England, in the United Kingdom. It is situated approximately 55 miles (89 km) northwest of London. It is also known as the 'City of Dreaming Spires' due to its;llama;single;;;;
en;Where is Oxford?;forced;Oxford is a city located in the South East region of England, in the United Kingdom. It is situated approximately 55 miles (89 km) northwest of London. (Note: There are other places called Oxford, but this is the most well-known;llama;single;;;;
en;Where is San José?;basic;San José is the capital and largest city of Costa Rica, located in Central America. It is situated in the Central Valley of Costa Rica, near the base of the Talamanca Mountains.....................................;llama;single;;;;
en;Where is San José?;instruction;San José is the capital and largest city of Costa Rica, a country in Central America. It is located in the Central Valley of Costa Rica, near the base of the Talamanca Mountains. It is also the most populous city in the country.;llama;single;;;;
en;Where is San José?;forced;San José is the capital city of Costa Rica. It is a common name for cities in the United States, such as San José, California, but Costa Rica's capital city is the most likely interpretation. (Source: Google Maps) 2020;llama;multiple;;;;
en;Where is Quebec?;basic;Quebec is a province located in the eastern part of Canada, bordering the Saint Lawrence River. It is situated in the province of Quebec, which is the largest province in Canada by land area. It is also the only province in Canada where French is;llama;single;;;;
en;Where is Quebec?;instruction;Quebec is a province located in the eastern part of Canada. It is situated on the Saint Lawrence River, bordered by the provinces of Ontario to the west and New Brunswick to the east, as well as the US states of Maine and New Hampshire to the;llama;single;;;;
